Symbol,Security,SEC filings,GICS Sector,GICS Sub-Industry,Headquarters Location,Date first added,CIK,Founded
NDAQ,Nasdaq,reports,Financials,Financial Exchanges & Data,"New York City, New York",10/22/08,1120193,1971
NTAP,NetApp,reports,Information Technology,"Technology Hardware, Storage & Peripherals","Sunnyvale, California",6/25/99,1002047,1992
NFLX,Netflix,reports,Communication Services,Movies & Entertainment,"Los Gatos, California",12/20/10,1065280,1997
NWL,Newell Brands,reports,Consumer Discretionary,Housewares & Specialties,"Atlanta, Georgia",4/30/89,814453,1903
NEM,Newmont,reports,Materials,Gold,"Denver, Colorado",6/30/69,1164727,1921
NWSA,News Corp (Class A),reports,Communication Services,Publishing,"New York City, New York",8/1/13,1564708,2013 (1980)
NWS,News Corp (Class B),reports,Communication Services,Publishing,"New York City, New York",9/18/15,1564708,2013 (1980)
NEE,NextEra Energy,reports,Utilities,Multi-Utilities,"Juno Beach, Florida",6/30/76,753308,1984 (1925)
NLSN,Nielsen Holdings,reports,Industrials,Research & Consulting Services,"New York City, New York",7/9/13,1492633,1923
NKE,Nike,reports,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Washington County, Oregon",11/30/88,320187,1964
NI,NiSource,reports,Utilities,Multi-Utilities,"Merrillville, Indiana",,1111711,1912
NSC,Norfolk Southern,reports,Industrials,Railroads,"Norfolk, Virginia",3/4/57,702165,1881/1894 (1980)
NTRS,Northern Trust,reports,Financials,Asset Management & Custody Banks,"Chicago, Illinois",,73124,1889
NOC,Northrop Grumman,reports,Industrials,Aerospace & Defense,"West Falls Church, Virginia",6/30/85,1133421,"1994 (Northrop 1939, Grumman 1930)"
NLOK,NortonLifeLock,reports,Information Technology,Application Software,"Tempe, Arizona",3/25/03,849399,1982
NCLH,Norwegian Cruise Line Holdings,reports,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Miami, Florida",10/13/17,1513761,2011 (1966)
NRG,NRG Energy,reports,Utilities,Independent Power Producers & Energy Traders,"Houston, Texas",1/29/10,1013871,1992
NUE,Nucor,reports,Materials,Steel,"Charlotte, North Carolina",4/30/85,73309,1940
NVDA,Nvidia,reports,Information Technology,Semiconductors,"Santa Clara, California",11/30/01,1045810,1993
NVR,NVR,reports,Consumer Discretionary,Homebuilding,"Reston, Virginia",9/26/19,906163,1980
NXPI,NXP,reports,Information Technology,Semiconductors,"Eindhoven, Netherlands",3/22/21,1413447,1953
ORLY,O'Reilly Automotive,reports,Consumer Discretionary,Specialty Stores,"Springfield, Missouri",3/27/09,898173,1957
OXY,Occidental Petroleum,reports,Energy,Oil & Gas Exploration & Production,"Houston, Texas",12/31/82,797468,1920
ODFL,Old Dominion Freight Line,reports,Industrials,Trucking,"Thomasville, North Carolina",12/9/19,878927,1934
OMC,Omnicom Group,reports,Communication Services,Advertising,"New York City, New York",,29989,1986
OKE,Oneok,reports,Energy,Oil & Gas Storage & Transportation,"Tulsa, Oklahoma",3/15/10,1039684,1906
ORCL,Oracle,reports,Information Technology,Application Software,"Austin, Texas",8/31/89,1341439,1977
OGN,Organon & Co.,reports,Health Care,Pharmaceuticals,"Jersey City, New Jersey",6/3/21,1821825,2021
OTIS,Otis Worldwide,reports,Industrials,Industrial Machinery,"Farmington, Connecticut",4/3/20,1781335,2020 (1853)
PCAR,Paccar,reports,Industrials,Construction Machinery & Heavy Trucks,"Bellevue, Washington",12/31/80,75362,1905
PKG,Packaging Corporation of America,reports,Materials,Paper Packaging,"Lake Forest, Illinois",7/26/17,75677,1959
PH,Parker-Hannifin,reports,Industrials,Industrial Machinery,"Cleveland, Ohio",11/30/85,76334,1917
PAYX,Paychex,reports,Information Technology,Data Processing & Outsourced Services,"Penfield, New York",,723531,1971
PAYC,Paycom,reports,Information Technology,Application Software,"Oklahoma City, Oklahoma",1/28/20,1590955,1998
PYPL,PayPal,reports,Information Technology,Data Processing & Outsourced Services,"San Jose, California",7/20/15,1633917,1998
PENN,Penn National Gaming,reports,Consumer Discretionary,Casinos & Gaming,"Wyomissing, Pennsylvania",3/22/21,921738,1972
PNR,Pentair,reports,Industrials,Industrial Machinery,"Worsley, England",10/1/12,77360,1966
PBCT,People's United Financial,reports,Financials,Thrifts & Mortgage Finance,"Bridgeport, Connecticut",11/13/08,1378946,1842
PEP,PepsiCo,reports,Consumer Staples,Soft Drinks,"Purchase, New York",3/4/57,77476,1898
PKI,PerkinElmer,reports,Health Care,Health Care Equipment,"Waltham, Massachusetts",5/31/85,31791,1937
PFE,Pfizer,reports,Health Care,Pharmaceuticals,"New York City, New York",3/4/57,78003,1849
PM,Philip Morris International,reports,Consumer Staples,Tobacco,"New York City, New York",3/31/08,1413329,2008 (1847)
PSX,Phillips 66,reports,Energy,Oil & Gas Refining & Marketing,"Houston, Texas",5/1/12,1534701,2012 (1917)
PNW,Pinnacle West Capital,reports,Utilities,Multi-Utilities,"Phoenix, Arizona",,764622,1985
PXD,Pioneer Natural Resources,reports,Energy,Oil & Gas Exploration & Production,"Irving, Texas",9/24/08,1038357,1997
PNC,PNC Financial Services,reports,Financials,Regional Banks,"Pittsburgh, Pennsylvania",4/30/88,713676,1845
POOL,Pool Corporation,reports,Consumer Discretionary,Distributors,"Covington, Louisiana",10/7/20,945841,1993
PPG,PPG Industries,reports,Materials,Specialty Chemicals,"Pittsburgh, Pennsylvania",3/4/57,79879,1883
PPL,PPL,reports,Utilities,Electric Utilities,"Allentown, Pennsylvania",,922224,1920
PFG,Principal Financial Group,reports,Financials,Life & Health Insurance,"Des Moines, Iowa",7/22/02,1126328,1879
PG,Procter & Gamble,reports,Consumer Staples,Personal Products,"Cincinnati, Ohio",3/4/57,80424,1837
PGR,Progressive Corporation,reports,Financials,Property & Casualty Insurance,"Mayfield Village, Ohio",8/4/97,80661,1937
PLD,Prologis,reports,Real Estate,Industrial REITs,"San Francisco, California",7/17/03,1045609,1983
PRU,Prudential Financial,reports,Financials,Life & Health Insurance,"Newark, New Jersey",7/22/02,1137774,1875
PTC,PTC,reports,Information Technology,Application Software,"Boston, Massachusetts",4/20/21,857005,1985
PEG,Public Service Enterprise Group,reports,Utilities,Electric Utilities,"Newark, New Jersey",3/4/57,788784,1903
PSA,Public Storage,reports,Real Estate,Specialized REITs,"Glendale, California",8/19/05,1393311,1972
PHM,PulteGroup,reports,Consumer Discretionary,Homebuilding,"Atlanta, Georgia",4/30/84,822416,1956
PVH,PVH,reports,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","New York City, New York",2/15/13,78239,1881
QRVO,Qorvo,reports,Information Technology,Semiconductors,"Greensboro, North Carolina",6/11/15,1604778,2015
PWR,Quanta Services,reports,Industrials,Construction & Engineering,"Houston, Texas",7/1/09,1050915,1997
QCOM,Qualcomm,reports,Information Technology,Semiconductors,"San Diego, California",,804328,1985
DGX,Quest Diagnostics,reports,Health Care,Health Care Services,"Secaucus, New Jersey",12/12/02,1022079,1967
RL,Ralph Lauren Corporation,reports,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","New York City, New York",2/2/07,1037038,1967
RJF,Raymond James Financial,reports,Financials,Investment Banking & Brokerage,"St. Petersburg, Florida",3/20/17,720005,1962
RTX,Raytheon Technologies,reports,Industrials,Aerospace & Defense,"Waltham, Massachusetts",,101829,1922
O,Realty Income Corporation,reports,Real Estate,Retail REITs,"San Diego, California",4/7/15,726728,1969
REG,Regency Centers,reports,Real Estate,Retail REITs,"Jacksonville, Florida",3/2/17,910606,1963
REGN,Regeneron Pharmaceuticals,reports,Health Care,Biotechnology,"Tarrytown, New York",5/1/13,872589,1988
RF,Regions Financial Corporation,reports,Financials,Regional Banks,"Birmingham, Alabama",8/28/98,1281761,1971
RSG,Republic Services,reports,Industrials,Environmental & Facilities Services,"Phoenix, Arizona",12/5/08,1060391,1998 (1981)
RMD,ResMed,reports,Health Care,Health Care Equipment,"San Diego, California",7/26/17,943819,1989
RHI,Robert Half International,reports,Industrials,Human Resource & Employment Services,"Menlo Park, California",12/5/00,315213,1948
ROK,Rockwell Automation,reports,Industrials,Electrical Components & Equipment,"Milwaukee, Wisconsin",,1024478,1903
ROL,Rollins,reports,Industrials,Environmental & Facilities Services,"Atlanta, Georgia",10/1/18,84839,1948
ROP,Roper Technologies,reports,Industrials,Industrial Conglomerates,"Sarasota, Florida",12/23/09,882835,1981
ROST,Ross Stores,reports,Consumer Discretionary,Apparel Retail,"Dublin, California",12/21/09,745732,1982
RCL,Royal Caribbean Group,reports,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Miami, Florida",12/5/14,884887,1997
SPGI,S&P Global,reports,Financials,Financial Exchanges & Data,"New York City, New York",,64040,1917
CRM,Salesforce,reports,Information Technology,Application Software,"San Francisco, California",9/15/08,1108524,1999
SBAC,SBA Communications,reports,Real Estate,Specialized REITs,"Boca Raton, Florida",9/1/17,1034054,1989
SLB,Schlumberger,reports,Energy,Oil & Gas Equipment & Services,"Curaçao, Kingdom of the Netherlands",3/31/65,87347,1926
STX,Seagate Technology,reports,Information Technology,"Technology Hardware, Storage & Peripherals","Dublin, Ireland",7/2/12,1137789,1979
SEE,Sealed Air,reports,Materials,Paper Packaging,"Charlotte, North Carolina",3/4/57,1012100,1960
SRE,Sempra Energy,reports,Utilities,Multi-Utilities,"San Diego, California",,1032208,1998
NOW,ServiceNow,reports,Information Technology,Systems Software,"Santa Clara, California",11/21/19,1373715,2003
SHW,Sherwin-Williams,reports,Materials,Specialty Chemicals,"Cleveland, Ohio",6/30/64,89800,1866
SPG,Simon Property Group,reports,Real Estate,Retail REITs,"Indianapolis, Indiana",6/26/02,1063761,2003
SWKS,Skyworks Solutions,reports,Information Technology,Semiconductors,"Woburn, Massachusetts",3/12/15,4127,2002
SNA,Snap-on,reports,Industrials,Industrial Machinery,"Kenosha, Wisconsin",9/30/82,91440,1920
SO,Southern Company,reports,Utilities,Electric Utilities,"Atlanta, Georgia",3/4/57,92122,1945
LUV,Southwest Airlines,reports,Industrials,Airlines,"Dallas, Texas",7/1/94,92380,1967
SWK,Stanley Black & Decker,reports,Industrials,Industrial Machinery,"New Britain, Connecticut",9/30/82,93556,1843
SBUX,Starbucks,reports,Consumer Discretionary,Restaurants,"Seattle, Washington",,829224,1971
STT,State Street Corporation,reports,Financials,Asset Management & Custody Banks,"Boston, Massachusetts",,93751,1792
STE,Steris,reports,Health Care,Health Care Equipment,"Dublin, Ireland",12/23/19,1757898,1985
SYK,Stryker Corporation,reports,Health Care,Health Care Equipment,"Kalamazoo, Michigan",12/12/00,310764,1941
SIVB,SVB Financial,reports,Financials,Regional Banks,"Santa Clara, California",3/19/18,719739,1983
SYF,Synchrony Financial,reports,Financials,Consumer Finance,"Stamford, Connecticut",11/18/15,1601712,2003
SNPS,Synopsys,reports,Information Technology,Application Software,"Mountain View, California",3/16/17,883241,1986
SYY,Sysco,reports,Consumer Staples,Food Distributors,"Houston, Texas",12/31/86,96021,1969
TMUS,T-Mobile US,reports,Communication Services,Wireless Telecommunication Services,"Bellevue, Washington",7/15/19,1283699,1994
TROW,T. Rowe Price,reports,Financials,Asset Management & Custody Banks,"Baltimore, Maryland",,1113169,1937
TTWO,Take-Two Interactive,reports,Communication Services,Interactive Home Entertainment,"New York City, New York",3/19/18,946581,1993
TPR,Tapestry,reports,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","New York City, New York",,1116132,2017
TGT,Target,reports,Consumer Discretionary,General Merchandise Stores,"Minneapolis, Minnesota",12/31/76,27419,1902
TEL,TE Connectivity,reports,Information Technology,Electronic Manufacturing Services,"Schaffhausen, Switzerland",10/17/11,1385157,2007
TDY,Teledyne Technologies,reports,Industrials,Aerospace & Defense,"Thousand Oaks, California",6/22/20,1094285,1960
TFX,Teleflex,reports,Health Care,Health Care Equipment,"Wayne, Pennsylvania",1/18/19,96943,1943
TER,Teradyne,reports,Information Technology,Semiconductor Equipment,"North Reading, Massachusetts",9/21/20,97210,1960
TSLA,Tesla,reports,Consumer Discretionary,Automobile Manufacturers,"Palo Alto, California",12/21/20,1318605,2003
TXN,Texas Instruments,reports,Information Technology,Semiconductors,"Dallas, Texas",,97476,1930
TXT,Textron,reports,Industrials,Aerospace & Defense,"Providence, Rhode Island",12/31/78,217346,1923
TMO,Thermo Fisher Scientific,reports,Health Care,Life Sciences Tools & Services,"Waltham, Massachusetts",8/3/04,97745,2006 (1902)
TJX,TJX Companies,reports,Consumer Discretionary,Apparel Retail,"Framingham, Massachusetts",9/30/85,109198,1987
TSCO,Tractor Supply Company,reports,Consumer Discretionary,Specialty Stores,"Brentwood, Tennessee",1/24/14,916365,1938
TT,Trane Technologies,reports,Industrials,Building Products,"Dublin, Ireland",11/17/10,1466258,1871
TDG,TransDigm Group,reports,Industrials,Aerospace & Defense,"Cleveland, Ohio",6/3/16,1260221,1993
TRV,The Travelers Companies,reports,Financials,Property & Casualty Insurance,"New York City, New York",8/21/02,86312,1853
TRMB,Trimble,reports,Information Technology,Electronic Equipment & Instruments,"Sunnyvale, California",1/21/21,864749,1978
TFC,Truist Financial,reports,Financials,Regional Banks,"Charlotte, North Carolina",12/4/97,92230,1872
TWTR,Twitter,reports,Communication Services,Interactive Media & Services,"San Francisco, California",6/7/18,1418091,2006
TYL,Tyler Technologies,reports,Information Technology,Application Software,"Plano, Texas",6/22/20,860731,1966
TSN,Tyson Foods,reports,Consumer Staples,Packaged Foods & Meats,"Springdale, Arkansas",8/10/05,100493,1935
UDR,UDR,reports,Real Estate,Residential REITs,"Highlands Ranch, Colorado",3/7/16,74208,1972
ULTA,Ulta Beauty,reports,Consumer Discretionary,Specialty Stores,"Bolingbrook, Illinois",4/18/16,1403568,1990
USB,U.S. Bancorp,reports,Financials,Diversified Banks,"Minneapolis, Minnesota",,36104,1968
UAA,Under Armour (Class A),reports,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Baltimore, Maryland",5/1/14,1336917,1996
UA,Under Armour (Class C),reports,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Baltimore, Maryland",4/8/16,1336917,1996
UNP,Union Pacific,reports,Industrials,Railroads,"Omaha, Nebraska",3/4/57,100885,1862
UAL,United Airlines,reports,Industrials,Airlines,"Chicago, Illinois",9/3/15,100517,1967
UNH,UnitedHealth Group,reports,Health Care,Managed Health Care,"Minnetonka, Minnesota",7/1/94,731766,1977
UPS,United Parcel Service,reports,Industrials,Air Freight & Logistics,"Sandy Springs, Georgia",7/22/02,1090727,1907
URI,United Rentals,reports,Industrials,Trading Companies & Distributors,"Stamford, Connecticut",9/20/14,1067701,1997
UHS,Universal Health Services,reports,Health Care,Health Care Facilities,"King of Prussia, Pennsylvania",9/20/14,352915,1979
VLO,Valero Energy,reports,Energy,Oil & Gas Refining & Marketing,"San Antonio, Texas",,1035002,1980
VTR,Ventas,reports,Real Estate,Health Care REITs,"Chicago, Illinois",3/4/09,740260,1998
VRSN,Verisign,reports,Information Technology,Internet Services & Infrastructure,"Dulles, Virginia",2/1/06,1014473,1995
VRSK,Verisk Analytics,reports,Industrials,Research & Consulting Services,"Jersey City, New Jersey",10/8/15,1442145,1971
VZ,Verizon Communications,reports,Communication Services,Integrated Telecommunication Services,"New York City, New York",11/30/83,732712,1983 (1877)
VRTX,Vertex Pharmaceuticals,reports,Health Care,Biotechnology,"Cambridge, Massachusetts",9/23/13,875320,1989
VFC,VF Corporation,reports,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Denver, Colorado",6/30/79,103379,1899
VIAC,ViacomCBS,reports,Communication Services,Movies & Entertainment,"New York City, New York",,813828,2019 (1952)
VTRS,Viatris,reports,Health Care,Pharmaceuticals,"Pittsburgh, Pennsylvania",4/23/04,1792044,1961
V,Visa,reports,Information Technology,Data Processing & Outsourced Services,"San Francisco, California",12/21/09,1403161,1958
VNO,Vornado Realty Trust,reports,Real Estate,Office REITs,"New York City, New York",,899689,1982
VMC,Vulcan Materials,reports,Materials,Construction Materials,"Birmingham, Alabama",6/30/99,1396009,1909
WRB,W. R. Berkley Corporation,reports,Financials,Property & Casualty Insurance,"Greenwich, Connecticut",12/5/19,11544,1967
WAB,Wabtec,reports,Industrials,Construction Machinery & Heavy Trucks,"Pittsburgh, Pennsylvania",2/27/19,943452,1999 (1869)
WMT,Walmart,reports,Consumer Staples,Hypermarkets & Super Centers,"Bentonville, Arkansas",8/31/82,104169,1962
WBA,Walgreens Boots Alliance,reports,Consumer Staples,Drug Retail,"Deerfield, Illinois",12/31/79,1618921,2014
DIS,The Walt Disney Company,reports,Communication Services,Movies & Entertainment,"Burbank, California",6/30/76,1744489,1923
WM,Waste Management,reports,Industrials,Environmental & Facilities Services,"Houston, Texas",,823768,1968
WAT,Waters Corporation,reports,Health Care,Health Care Distributors,"Milford, Massachusetts",,1000697,1958
WEC,WEC Energy Group,reports,Utilities,Electric Utilities,"Milwaukee, Wisconsin",10/31/08,783325,1896
WFC,Wells Fargo,reports,Financials,Diversified Banks,"San Francisco, California",6/30/76,72971,1852
WELL,Welltower,reports,Real Estate,Health Care REITs,"Toledo, Ohio",1/30/09,766704,1970
WST,West Pharmaceutical Services,reports,Health Care,Health Care Supplies,"Exton, Pennsylvania",5/22/20,105770,1923
WDC,Western Digital,reports,Information Technology,"Technology Hardware, Storage & Peripherals","San Jose, California",7/1/09,106040,1970
WU,Western Union,reports,Information Technology,Data Processing & Outsourced Services,"Englewood, Colorado",9/29/06,1365135,1851
WRK,WestRock,reports,Materials,Paper Packaging,"Atlanta, Georgia",,1732845,2015
WY,Weyerhaeuser,reports,Real Estate,Specialized REITs,"Seattle, Washington",,106535,1900
WHR,Whirlpool Corporation,reports,Consumer Discretionary,Household Appliances,"Benton Harbor, Michigan",,106640,1911
WMB,Williams Companies,reports,Energy,Oil & Gas Storage & Transportation,"Tulsa, Oklahoma",3/31/75,107263,1908
WLTW,Willis Towers Watson,reports,Financials,Insurance Brokers,"London, England",1/5/16,1140536,2016
WYNN,Wynn Resorts,reports,Consumer Discretionary,Casinos & Gaming,"Paradise, Nevada",11/14/08,1174922,2002
XEL,Xcel Energy,reports,Utilities,Multi-Utilities,"Minneapolis, Minnesota",3/4/57,72903,1909
XLNX,Xilinx,reports,Information Technology,Semiconductors,"San Jose, California",11/8/99,743988,1984
XYL,Xylem,reports,Industrials,Industrial Machinery,"White Plains, New York",11/1/11,1524472,2011
YUM,Yum! Brands,reports,Consumer Discretionary,Restaurants,"Louisville, Kentucky",10/6/97,1041061,1997
ZBRA,Zebra Technologies,reports,Information Technology,Electronic Equipment & Instruments,"Lincolnshire, Illinois",12/23/19,877212,1969
ZBH,Zimmer Biomet,reports,Health Care,Health Care Equipment,"Warsaw, Indiana",8/7/01,1136869,1927
ZION,Zions Bancorp,reports,Financials,Regional Banks,"Salt Lake City, Utah",6/22/01,109380,1873
ZTS,Zoetis,reports,Health Care,Pharmaceuticals,"Parsippany, New Jersey",6/21/13,1555280,1952
